id	ssc_average
WM1_GS1_97103_CLV_CLV	9.6
WM10_GS10_BlackDiamond_CLV_CLV	8.633333333
WM100_GS136_PI386015_CC_CC	1.585714286
WM101_GS139_PI388770_CC_CC	1.5
WM102_GS140_PI525082_CC_CC	1
WM106_W1_BJcollection1_CA_CLC	3
WM107_W2_CaiXigua_CA_CLC	3
WM108_W4_PI288522_CLV_CLC	4
WM109_W5_JQcollection1_CA_CLC	3.166666667
WM11_GS11_PI296341FR_CA_CLL	1.766666667
WM110_W6_PI296339_CA_CLC	3
WM111_W7_PI482246_CA_CLC	2.333333333
WM112_W8_PI189225_CA_CLC	3.166666667
WM113_W9_PI248774_CA_CLC	4
WM114_W10_PI255137_CA_CLC	4.333333333
WM115_W12_PI482322_CA_CLC	3.333333333
WM116_W13_PI542119_CA_CLC	4.666666667
WM117_W14_PI271769_CA_CLC	4.166666667
WM118_W15_PI485579_CA_CLC	5
WM119_W16_PI494817_CA_CLC	4
WM12_GS12_PI595203_CLM_CLM	2.066666667
WM120_W17_PI505604_CA_CLC	2.166666667
WM121_W18_PI512854_CA_CLC	3
WM122_W19_PI532666_CA_CLC	3.666666667
WM123_W20_PI532667_CA_CLC	3.166666667
WM124_W21_PI532670_CA_CLC	3
WM125_W22_PI532738_CLM_CLC	3
WM129_W28_PI494530_CLM_CLM	3.333333333
WM13_GS13_PI386019_CC_CC	1.166666667
WM130_W29_PI494528_CLM_CLM	3.833333333
WM131_W30_PI254723_Citrus_CLM	4
WM132_W31_PI186975_CLM_CLM	3
WM133_W32_PI185635_CLM_CLM	3
WM134_W33_PI185636_CLV_CLM	4
WM135_W35_PI381740_CLV_CLM	8.833333333
WM136_W36_PI494532_CLM_CLM	5
WM137_W38_PI164248_CLM_CLM	3
WM138_W39_PI179240_CLV_CLM	4
WM139_W40_PI186489_CLM_CLM	3
WM14_GS14_PI482271_CLM_CLM	5.5
WM140_W42_PI490377_CLM_CLM	3
WM141_W43_PI490381_CLM_CLM	4
WM142_W44_PI532722_CLM_CLM	4
WM143_W45_PI532726_CLM_CLM	3
WM144_W46_PI532732_CLM_CLM	3
WM145_W47_PI559997_CLM_CLM	4
WM146_W48_PI560014_CLM_CLM	3.5
WM147_W49_TuBaiPi_CLV_CLVland	9.5
WM148_W50_KaLaQiPa_CLV_CLVland	6.133333333
WM149_W51_DaHongZi_CLV_CLVland	9.266666667
WM150_W53_ALaKeZiWai_CLV_CLVland	9
WM151_W54_XiaoZiGua_CLV_CLVland	8.866666667
WM152_W55_QiaErTaWuZi_CLV_CLVland	9.133333333
WM153_W56_LanzhouHuaPi_CLV_CLVland	6.766666667
WM154_W57_ShanxiHongZi_CLV_CLVland	7.666666667
WM155_W58_LaMaGua_CLV_CLVland	9.1
WM156_W59_HeiYouPi_CLV_CLVland	9.1
WM157_W60_LiPi_CLV_CLVland	8.566666667
WM158_W61_TouXinHong_CLV_CLV	10.86666667
WM159_W62_NingXianXiGua_CLV_CLVland	7.733333333
WM160_W63_GangPi_CLV_CLVland	7.4
WM161_W64_TaoJian_CLV_CLVland	8.466666667
WM162_W65_XiaoHongZi_CLV_CLVland	9.333333333
WM163_W66_KuiKeTaWuZi_CLV_CLVland	10.06666667
WM164_W67_KaLaTaWuZi_CLV_CLVland	8.4
WM165_W68_MaSiHe_CLV_CLVland	7
WM166_W69_HeTaoWen_CLV_CLVland	9.2
WM167_W70_FuYangNo.1_CLV_CLVland	8.8
WM168_W71_HeiPi_CLV_CLVland	9.15
WM169_W72_TaiLiHong_CLV_CLVland	9.733333333
WM17_GS17_Sy904304_CLV_CLV	10.25
WM170_W73_YiNanMi_CLV_CLV	11.2
WM171_W74_JiZhuaGua_CLV_CLVland	6.766666667
WM172_W75_SuXianXiaoZi_CLV_CLVland	9.666666667
WM173_W76_LanZhouHeiPi_CLV_CLVland	9
WM174_W77_WeiShi_CLV_CLVland	7.8
WM175_W78_HuaLing_CLV_CLVland	8
