NF10A_uniq.fasta	NF10B_uniq.fasta	NF18A_uniq.fasta	NF18B_uniq.fasta	NF26A_uniq.fasta	NF26B_uniq.fasta	NF34A_uniq.fasta	NF34B_uniq.fasta	NR10A_uniq.fasta	NR10B_uniq.fasta	NR18A_uniq.fasta	NR18B_uniq.fasta	NR26A_uniq.fasta	NR26B_uniq.fasta	NR34A_uniq.fasta	NR34B_uniq.fasta	PF10A_uniq.fasta	PF10B_uniq.fasta	PF18A_uniq.fasta	PF18B_uniq.fasta	PF26A_uniq.fasta	PF26B_uniq.fasta	PF34A_uniq.fasta	PF34B_uniq.fasta	PF42A_uniq.fasta	PF42B_uniq.fasta	PF50A_uniq.fasta	PF50B_uniq.fasta
NF10A_uniq.fasta	1	0.534832420920839	0.930203546798219	0.588956006552641	0.786417041610358	0.667662580985649	0.749913105293612	0.662245628452238	0.879362633358911	0.661819908590434	0.979465847797344	0.506536047570364	0.719219929970743	0.494831298098741	0.50581995004752	0.544006909002695	0.520638346198394	0.536966948808568	0.281272551859483	0.546410884379338	0.484118015278032	0.502699827254644	0.466813872153011	0.4517178677733	0.463410871242827	0.151839449604741	0.458688488271622	0.336069314886242
NF10B_uniq.fasta	0.534832420920839	1	0.403892678522883	0.994921153643311	0.267867875630337	0.964597863324976	0.15637481503175	0.965605559789475	0.840209868349135	0.978022443376804	0.561549624519391	0.982707107519802	0.953996730554893	0.996359085329852	0.880934099974216	0.834114736920966	0.979814626125837	0.985026059370544	0.491427299360632	0.996167902558582	0.995519149358969	0.87514785929441	0.905302106727198	0.828060932436959	0.754274330347364	0.201499761374798	0.925658907426818	0.603564630046708
NF18A_uniq.fasta	0.930203546798219	0.403892678522883	1	0.480537814367747	0.935632646485276	0.601028037631836	0.923051786907122	0.596240222021043	0.719444343863682	0.531688595107522	0.949492888926042	0.375059058790114	0.582963793469743	0.356280471217729	0.409894732389474	0.458836467313905	0.370360685197333	0.39138160285026	0.199072967340292	0.413286433380829	0.34036454661854	0.371006258129713	0.334331188429935	0.329515730993311	0.372647920237123	0.16563119535406	0.351610325861226	0.287472938259352
NF18B_uniq.fasta	0.588956006552641	0.994921153643311	0.480537814367747	1	0.355454313114847	0.984439136185067	0.247321446965054	0.985316535685586	0.8627849221135	0.984785657688562	0.622021741080316	0.978181907276239	0.965516167094864	0.987569418355117	0.886013516171757	0.847398361207862	0.973102230562475	0.980079108124245	0.495658498360868	0.9928861568933	0.984784562753335	0.875424630203616	0.900822073520437	0.826819939439341	0.760166203991933	0.213115836831437	0.921480623197941	0.608382249372853
NF26A_uniq.fasta	0.786417041610358	0.267867875630337	0.935632646485276	0.355454313114847	1	0.498859291734527	0.990826051447296	0.501557415924182	0.555741535341778	0.378465829400668	0.848690704055815	0.245190974231877	0.4311395173085	0.219413373231783	0.28090935354056	0.34302033296674	0.231240609642024	0.252636756457498	0.118480351741249	0.273588705489988	0.199986980340906	0.239131484048165	0.203615013986308	0.198833629923766	0.225578512165688	0.0940412497429905	0.218866321907645	0.173381064754289
NF26B_uniq.fasta	0.667662580985649	0.964597863324976	0.601028037631836	0.984439136185067	0.498859291734527	1	0.399369068821497	0.997615861726111	0.881430543856322	0.976469264923522	0.71140752463207	0.941663291318382	0.963055977222894	0.950885076381482	0.865803006477418	0.837438703400457	0.933123196756368	0.943989985327839	0.467019359055584	0.963205869874299	0.943137244343604	0.84190095897486	0.860718605337411	0.790710697970231	0.746541408571062	0.219843245017105	0.89058702369952	0.596567195967087
NF34A_uniq.fasta	0.749913105293612	0.15637481503175	0.923051786907122	0.247321446965054	0.990826051447296	0.399369068821497	1	0.400079451828555	0.468388981035189	0.27582290594353	0.80674800308122	0.133865692282573	0.331040390589618	0.107251664057155	0.19130976023309	0.258184084984095	0.119282464542507	0.140494556078184	0.0642417994551227	0.163319277402107	0.0875073482668596	0.141791988446467	0.101857650138951	0.108315484033803	0.157748441945595	0.0952456882641083	0.121438684415438	0.123386182181251
NF34B_uniq.fasta	0.662245628452238	0.965605559789475	0.596240222021043	0.985316535685586	0.501557415924182	0.997615861726111	0.400079451828555	1	0.88094634156124	0.97196787916412	0.708142319905351	0.945441588047157	0.962478903771508	0.95117295889361	0.873946046147566	0.84354309698162	0.936485683952493	0.946927911469174	0.469598111744907	0.963053836985023	0.945183338721839	0.847059436885055	0.864386292371227	0.793458919943973	0.750758725796679	0.232364484183948	0.898536411579362	0.608773860505591
NR10A_uniq.fasta	0.879362633358911	0.840209868349135	0.719444343863682	0.8627849221135	0.555741535341778	0.881430543856322	0.468388981035189	0.88094634156124	1	0.905266005725251	0.876783908974237	0.821524405249702	0.94462372749205	0.820507376053867	0.767744051037765	0.766193806908752	0.837436177452027	0.84733328934898	0.443005547455892	0.847683629721114	0.81506583816273	0.776392802329932	0.764493757976025	0.715253142526005	0.67565656042974	0.196770019189297	0.75914847306257	0.518013324092189
NR10B_uniq.fasta	0.661819908590434	0.978022443376804	0.531688595107522	0.984785657688562	0.378465829400668	0.976469264923522	0.27582290594353	0.97196787916412	0.905266005725251	1	0.677839882665435	0.955534137379193	0.974691597060206	0.970809092599086	0.866348566674217	0.834604897010481	0.956627528330423	0.96557421036979	0.489780307824669	0.98115631836572	0.965263010453116	0.863307914206818	0.882008406746514	0.816108922879325	0.761620319272495	0.206254998310148	0.894550721650252	0.59033484968238
